Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp,Event,EventFile,EventTime
152288.3125,162502.1563,151640.1250,158511.3281,187500.0000,187500.0000,187500.0000,187500.0000,149689.1563,149683.7031,157709.1719,154783.7188,187500.0000,171492.5313,187500.0000,175112.9531,158216.5000,157508.1719,136596.4375,187500.0000,187500.0000,187500.0000,28.567932,NaN,NaN,NaN
152736.0781,165255.2969,151351.7656,159629.7344,187500.0000,187500.0000,187500.0000,187500.0000,149300.9063,149438.4844,157230.6563,155069.4531,187500.0000,171493.4844,187500.0000,175206.6719,158631.5313,157806.9063,136587.4531,187500.0000,187500.0000,187500.0000,28.571930,NaN,NaN,NaN
152756.8281,165464.7969,151321.7813,159739.8594,187500.0000,187500.0000,187500.0000,187500.0000,149266.7031,149428.8281,157186.0469,155096.9844,187500.0000,171499.4375,187500.0000,175242.5000,158654.2656,157826.0938,136614.7031,187500.0000,187500.0000,187500.0000,28.575928,NaN,NaN,NaN
152756.8281,165464.7969,151321.7813,159739.8594,187500.0000,187500.0000,187500.0000,187500.0000,149266.7031,149428.8281,157186.0469,155096.9844,187500.0000,171499.4375,187500.0000,175242.5000,158654.2656,157826.0938,136614.7031,187500.0000,187500.0000,187500.0000,28.579926,NaN,NaN,NaN
152308.7969,162839.2969,151575.3281,158679.9219,187500.0000,187500.0000,187500.0000,187500.0000,149618.8594,149653.7969,157621.5625,154822.8438,187500.0000,171501.7500,187500.0000,175168.0938,158248.2656,157533.3750,136631.0625,187500.0000,187500.0000,187500.0000,28.583923,NaN,NaN,NaN
151963.4688,160809.6875,151762.9063,157822.4375,187500.0000,187500.0000,187500.0000,187500.0000,149883.1875,149800.1406,157949.7969,154597.3281,187500.0000,171495.6719,187500.0000,175074.5938,157938.8281,157305.1094,136603.5156,187500.0000,187500.0000,187500.0000,28.587921,NaN,NaN,NaN
152227.0938,162391.0313,151594.2813,158426.3438,187500.0000,187500.0000,187500.0000,187500.0000,149657.0781,149651.7344,157672.7344,154750.5938,187500.0000,171491.0000,187500.0000,175099.8750,158177.6563,157471.7031,136559.0000,187500.0000,187500.0000,187500.0000,28.591919,NaN,NaN,NaN
152681.7188,165160.0938,151309.8125,159554.0938,187500.0000,187500.0000,187500.0000,187500.0000,149270.1719,149418.8125,157198.7656,155043.2656,187500.0000,171494.6875,187500.0000,175198.6250,158590.7813,157767.5625,136545.0781,187500.0000,187500.0000,187500.0000,28.595917,NaN,NaN,NaN
152253.2813,162776.4375,151521.3125,158612.1250,187500.0000,187500.0000,187500.0000,187500.0000,149577.0938,149612.3281,157572.8906,154790.9063,187500.0000,171496.2344,187500.0000,175153.0625,158214.0469,157499.2344,136589.7813,187500.0000,187500.0000,187500.0000,28.599915,NaN,NaN,NaN
152164.1406,162287.3438,151543.6094,158340.0625,187500.0000,187500.0000,187500.0000,187500.0000,149618.6094,149615.1719,157629.0938,154709.4063,187500.0000,171485.7031,187500.0000,175082.7344,158137.0938,157433.7969,136518.4531,187500.0000,187500.0000,187500.0000,28.603912,NaN,NaN,NaN
152656.4688,165335.3125,151227.9219,159607.2500,187500.0000,187500.0000,187500.0000,187500.0000,149191.5781,149370.7344,157107.2813,155038.4219,187500.0000,171501.2031,187500.0000,175223.2031,158587.1406,157760.5781,136535.2500,187500.0000,187500.0000,187500.0000,28.607910,NaN,NaN,NaN
151858.0781,160669.9375,151666.1406,157681.2656,187500.0000,187500.0000,187500.0000,187500.0000,149810.1875,149736.6094,157860.3750,154522.3125,187500.0000,171488.1719,187500.0000,175046.7813,157873.4063,157243.2656,136530.1719,187500.0000,187500.0000,187500.0000,28.611908,NaN,NaN,NaN
152118.4531,162216.6406,151502.4375,158270.0000,187500.0000,187500.0000,187500.0000,187500.0000,149587.1250,149588.6875,157591.4219,154669.0156,187500.0000,171481.7031,187500.0000,175067.0000,158108.0313,157407.0781,136485.4844,187500.0000,187500.0000,187500.0000,28.615906,NaN,NaN,NaN
152574.9688,165007.4063,151210.1875,159401.1406,187500.0000,187500.0000,187500.0000,187500.0000,149188.6875,149330.7969,157110.6563,154957.8438,187500.0000,171478.8594,187500.0000,175154.3906,158525.9844,157705.7656,136468.9688,187500.0000,187500.0000,187500.0000,28.619904,NaN,NaN,NaN
152179.9844,162750.4219,151420.2344,158511.0938,187500.0000,187500.0000,187500.0000,187500.0000,149486.2031,149511.3125,157466.1406,154710.5156,187500.0000,171468.5156,187500.0000,175097.9688,158176.7813,157458.0625,136519.8281,187500.0000,187500.0000,187500.0000,28.623901,NaN,NaN,NaN
151836.0469,160707.1094,151609.5469,157642.0000,187500.0000,187500.0000,187500.0000,187500.0000,149751.4063,149639.2656,157787.0625,154466.7344,187500.0000,171445.1875,187500.0000,174980.9844,157872.7969,157234.4531,136498.1406,187500.0000,187500.0000,187500.0000,28.627899,NaN,NaN,NaN
152113.9375,162285.4844,151451.7031,158240.6719,187500.0000,187500.0000,187500.0000,187500.0000,149527.1094,149472.2344,157520.2500,154613.4063,187500.0000,171431.7656,187500.0000,174984.9688,158121.3281,157408.5938,136458.6094,187500.0000,187500.0000,187500.0000,28.631897,NaN,NaN,NaN
152611.5156,165168.2969,151173.9688,159410.9531,187500.0000,187500.0000,187500.0000,187500.0000,149127.2344,149207.4063,157048.5625,154914.1875,187500.0000,171429.2500,187500.0000,175063.1250,158566.3750,157728.5000,136451.6875,187500.0000,187500.0000,187500.0000,28.635895,NaN,NaN,NaN
152310.2188,163192.3750,151382.5781,158612.2031,187500.0000,187500.0000,187500.0000,187500.0000,149382.1406,149281.8906,157380.1719,154657.5469,187500.0000,171384.5469,187500.0000,174934.4219,158300.3906,157546.4063,136528.6094,187500.0000,187500.0000,187500.0000,28.639893,NaN,NaN,NaN
152039.7188,161310.5469,151592.9375,157804.1094,187500.0000,187500.0000,187500.0000,187500.0000,149638.6875,149374.8906,157713.4063,154419.3906,187500.0000,171349.7656,187500.0000,174784.3125,158050.0313,157366.6250,136527.3594,187500.0000,187500.0000,187500.0000,28.643890,NaN,NaN,NaN
